Nap,Eladás,Látogatók
2024-11-01,288,78
2024-11-02,196,56
2024-11-03,267,75
2024-11-04,202,61
2024-11-05,228,70
2024-11-06,167,45
2024-11-07,299,82
2024-11-08,265,77
2024-11-09,108,25
2024-11-10,129,30
2024-11-11,228,73
2024-11-12,291,83
2024-11-13,176,53
2024-11-14,147,56
2024-11-15,170,57
2024-11-16,128,25
2024-11-17,283,70
2024-11-18,278,76
2024-11-19,276,62
2024-11-20,238,55
2024-11-21,203,67
2024-11-22,119,26
2024-11-23,257,58
2024-11-24,296,80
2024-11-25,179,60
2024-11-26,183,51
2024-11-27,291,85
2024-11-28,114,28
2024-11-29,150,46
2024-11-30,229,67
